Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color,Range (KM),Charging Time (Min),Efficiency (kWh/100km),CO2 Saved (Tons),Avg Customer Rating,Warranty (Years),Number of Recalls,Software Version,Autopilot Enabled,Total Miles Driven,Update Frequency (Per Year),Battery Replacement Rate,Service Visits (Per Year),Resale Value (%)
2022,Q1,North America,Semi,2303,55815.81,8,Performance,AWD,Green,629,35,20.09,1297.89,3.64,5,0,2024.4,False,1949189,9,0.063,2.12,60.19
2024,Q2,Australia,Model X,2326,48215.76,48,Long Range,AWD,Red,544,36,17.31,2763.08,3.9,4,3,2024.2,False,761023,10,0.0364,1.76,86.56
2017,Q2,North America,Model S,1916,100710.81,5,Standard,AWD,Blue,492,59,20.63,2356.04,4.06,5,2,2020.10,True,4580690,5,0.0247,1.26,89.69
2022,Q2,Asia,Model S,1926,104853.22,51,Long Range,RWD,White,383,43,23.96,3147.78,4.58,5,3,2023.11,False,1298493,6,0.0226,1.99,76.17
2023,Q4,South America,Model Y,3015,53642.26,8,Performance,RWD,Red,374,85,14.32,5291.0,4.69,8,0,2023.7,False,4538532,6,0.0974,2.22,60.34
2023,Q1,South America,Model X,2836,44481.93,27,Standard,RWD,Red,484,62,22.14,4297.57,3.66,6,1,2021.6,True,4624639,10,0.0927,1.7,74.66
2013,Q3,Asia,Model 3,524,55474.09,36,Standard,AWD,Green,598,82,13.83,1059.11,4.65,5,3,2024.3,False,4526448,11,0.0481,0.92,76.18
2023,Q2,Asia,Model Y,3109,72238.51,33,Long Range,AWD,Black,465,34,17.06,5212.6,3.85,5,0,2020.12,True,2020502,3,0.0915,2.22,62.13
2015,Q3,Australia,Model 3,4467,46246.51,59,Performance,RWD,Black,592,81,17.88,3076.21,4.49,6,3,2023.8,True,925588,2,0.0462,1.18,85.85
2015,Q2,Europe,Cybertruck,3725,46915.5,11,Long Range,RWD,Black,388,58,22.7,8239.45,3.65,4,0,2021.3,False,4173853,9,0.0292,1.3,61.76
2018,Q1,Australia,Model X,3777,59246.18,44,Performance,RWD,Black,447,48,15.61,2330.28,4.6,4,2,2020.1,False,4318214,10,0.0242,2.42,62.4
2014,Q1,South America,Model S,1976,69320.92,60,Performance,AWD,Silver,654,32,20.43,2644.78,4.38,6,2,2021.11,False,2102242,6,0.0456,1.84,69.0
2017,Q1,North America,Model Y,4662,119668.2,4,Performance,AWD,Silver,485,38,24.2,10544.18,4.82,6,2,2021.8,False,4537076,2,0.0701,1.61,87.95
2013,Q2,Asia,Model S,926,98105.42,9,Long Range,RWD,Silver,457,75,17.11,1736.24,4.78,8,2,2020.2,False,2420961,2,0.0103,2.04,79.11
2016,Q2,Australia,Cybertruck,3553,82677.08,7,Standard,AWD,Silver,368,83,17.43,5702.74,4.14,4,2,2022.1,False,1862249,12,0.0325,0.71,83.4
2018,Q2,Europe,Model 3,1500,109920.38,1,Standard,RWD,Blue,692,85,21.82,1494.5,3.74,4,3,2020.8,True,1774138,9,0.0415,2.14,86.14
2015,Q1,Europe,Model Y,2739,58681.26,4,Long Range,RWD,Green,610,55,21.15,5991.08,4.0,4,0,2022.3,False,420924,3,0.0637,1.19,83.59
2018,Q1,Australia,Cybertruck,1607,56651.41,45,Long Range,AWD,Silver,625,73,21.63,3188.13,4.51,6,3,2020.11,False,2733315,12,0.0863,1.94,69.01
2016,Q4,Asia,Model Y,2472,82125.06,12,Long Range,RWD,Green,439,69,19.83,3243.64,4.75,6,2,2021.7,False,4000603,9,0.0498,0.93,74.2
2024,Q2,North America,Model X,4272,91427.58,39,Long Range,AWD,Black,694,49,15.7,3837.37,3.54,5,3,2024.2,False,3576583,12,0.0618,1.94,71.52
2018,Q2,Europe,Semi,95,110876.09,55,Standard,RWD,Black,440,81,24.5,145.91,3.58,5,0,2023.3,False,4555457,10,0.0636,2.4,86.74
2021,Q4,South America,Model Y,1353,98210.71,30,Long Range,RWD,Black,676,47,22.19,2087.14,4.44,6,3,2020.12,False,2067074,6,0.0402,2.29,62.42
2014,Q2,Australia,Semi,1301,95045.63,4,Long Range,RWD,White,627,59,17.99,1188.68,4.13,4,3,2023.1,False,2604944,8,0.0868,2.41,72.57
2023,Q2,Australia,Model 3,2285,72046.06,1,Long Range,RWD,Green,697,81,17.85,1896.75,4.2,5,0,2023.10,True,804202,12,0.0486,2.23,65.45
2016,Q4,Asia,Model 3,3774,62781.89,48,Long Range,RWD,Blue,479,83,13.98,2033.31,4.31,6,1,2020.11,True,360298,5,0.0279,0.54,64.57
2014,Q4,North America,Cybertruck,1835,74527.89,16,Long Range,AWD,Silver,660,77,21.62,3772.0,3.75,6,0,2024.1,False,4930133,12,0.0917,1.25,88.24
2015,Q1,South America,Semi,2039,43661.61,49,Long Range,AWD,Silver,371,52,19.39,3717.18,3.6,6,0,2023.8,True,3736657,7,0.0672,2.16,81.22
2018,Q2,South America,Semi,2262,87352.55,58,Performance,RWD,Blue,573,82,21.77,2345.22,4.78,4,2,2023.4,False,4880245,11,0.0701,1.17,74.83
2017,Q2,Australia,Model 3,2956,102815.75,21,Long Range,RWD,Silver,355,63,24.38,1984.14,4.58,8,1,2023.11,False,3859560,2,0.0184,0.94,80.75
2016,Q3,Australia,Cybertruck,4399,64219.38,47,Performance,RWD,White,582,47,16.68,4227.77,4.58,6,0,2024.12,True,1706762,5,0.0765,1.05,77.69
2024,Q3,North America,Model 3,2476,54336.07,11,Long Range,AWD,Green,623,38,16.29,6062.71,4.33,5,3,2020.1,False,4037586,9,0.0496,0.87,61.54
2019,Q1,North America,Model Y,4078,41296.98,40,Performance,AWD,Black,426,81,19.75,4517.08,4.99,4,3,2024.10,True,4483656,8,0.0505,1.39,85.8
2018,Q3,South America,Cybertruck,543,86818.63,47,Standard,AWD,Green,458,46,20.93,442.06,3.76,4,1,2020.7,False,4041911,6,0.0129,1.08,68.48
2019,Q1,Europe,Model X,4881,91200.56,59,Standard,RWD,Red,628,44,20.77,11308.41,4.74,4,0,2021.5,False,3783886,3,0.0522,1.11,72.08
2016,Q4,Australia,Model S,4949,38388.17,27,Performance,RWD,Silver,478,31,14.1,11995.5,4.75,4,2,2024.1,True,4046846,10,0.0686,2.33,65.44
2021,Q4,Australia,Model S,3900,64576.69,21,Long Range,AWD,Black,518,56,21.32,4198.1,4.92,4,3,2020.6,False,2811817,3,0.0973,1.31,75.44
2012,Q4,Australia,Model S,1586,79067.35,39,Long Range,RWD,Red,454,47,19.59,3735.58,4.16,8,0,2020.11,True,1428572,6,0.0596,1.6,62.8
2013,Q4,North America,Semi,1311,77361.92,45,Long Range,RWD,Blue,597,60,15.92,2100.92,4.08,5,0,2022.7,False,4359212,6,0.0838,1.07,68.96
2021,Q4,Europe,Model Y,4462,76169.02,21,Performance,RWD,Blue,514,85,15.26,8455.48,4.36,5,3,2020.6,False,3297998,8,0.099,2.08,79.56
2014,Q4,North America,Model 3,4164,117055.06,21,Standard,RWD,Red,619,88,18.48,8098.51,4.11,5,0,2023.5,False,3434331,12,0.0172,1.16,80.23
2020,Q4,Asia,Semi,4047,109152.56,2,Performance,AWD,Black,673,73,24.05,10096.67,4.62,8,0,2020.8,True,2612103,2,0.0141,2.09,68.8
2017,Q4,Europe,Model 3,4401,70024.4,43,Standard,AWD,Black,390,69,23.45,7655.19,3.86,5,1,2023.11,False,3955156,6,0.07,2.3,73.96
2016,Q2,North America,Model Y,2880,118950.39,19,Performance,RWD,Green,478,59,23.14,2587.49,4.08,8,0,2021.7,False,4921871,6,0.0993,1.09,89.34
2022,Q4,Asia,Model S,4686,108530.73,49,Performance,AWD,Silver,604,83,23.85,5025.21,4.7,6,1,2021.10,False,1247387,12,0.0187,1.75,61.18
2024,Q4,North America,Cybertruck,3038,97250.58,5,Long Range,RWD,Green,562,41,15.41,6297.85,4.81,6,2,2021.5,False,2575825,7,0.0824,1.44,62.26
2024,Q2,Australia,Cybertruck,3046,42675.74,25,Standard,RWD,Silver,413,59,17.42,6085.98,3.89,8,2,2020.11,True,4055034,2,0.0658,2.39,69.84
2021,Q2,North America,Semi,3853,112297.95,19,Performance,RWD,Red,421,32,24.36,4271.93,4.24,4,1,2024.3,False,3905439,7,0.0703,1.99,88.38
2018,Q2,Australia,Semi,861,105863.91,39,Long Range,RWD,Red,539,43,18.32,2067.36,4.78,4,2,2024.11,False,607930,8,0.0348,2.44,88.47
2019,Q1,Europe,Semi,4941,117542.93,3,Long Range,AWD,Black,639,43,13.82,10031.79,3.81,5,1,2022.3,True,2425949,4,0.0989,1.58,83.96
2013,Q1,Europe,Model S,2984,102148.7,15,Performance,RWD,Red,439,46,13.63,5918.57,4.29,4,3,2023.6,True,3891696,10,0.0299,1.73,81.82
2022,Q3,Australia,Semi,305,40170.16,30,Long Range,RWD,Green,405,61,21.55,423.07,4.85,6,1,2020.3,False,4699947,7,0.0443,1.69,68.85
2020,Q4,North America,Semi,987,107487.38,41,Performance,AWD,Blue,581,86,15.74,1162.55,4.18,8,0,2022.7,False,2238170,7,0.0958,1.87,74.23
2013,Q1,North America,Model Y,841,98290.06,23,Standard,AWD,Silver,637,65,16.96,626.09,4.03,8,0,2022.10,False,3049822,3,0.062,0.93,79.7
2015,Q1,Asia,Cybertruck,3061,44765.25,17,Performance,AWD,Blue,637,79,22.82,5286.8,4.46,4,2,2020.3,False,2691951,7,0.0416,0.86,64.3
2022,Q4,North America,Model 3,301,42799.4,33,Standard,RWD,Blue,582,51,14.89,338.11,3.99,4,0,2021.3,True,784355,6,0.0499,1.35,78.21
2018,Q3,Europe,Cybertruck,982,64339.69,7,Long Range,RWD,Silver,691,49,13.55,1267.3,4.4,4,1,2022.4,True,2243452,6,0.0395,0.52,82.41
2014,Q2,Australia,Cybertruck,1935,77522.3,53,Performance,RWD,Red,553,85,21.9,2655.67,4.19,4,2,2024.7,False,3603870,6,0.0204,0.54,69.74
2024,Q4,Asia,Model S,3627,106781.17,15,Long Range,RWD,Silver,390,55,23.45,7223.57,3.83,5,0,2024.11,True,4551035,10,0.0275,2.05,70.53
2022,Q2,Europe,Model S,1249,56757.3,11,Performance,AWD,Green,388,41,24.42,2193.12,4.2,8,2,2022.3,False,672826,9,0.0498,1.11,68.24
2012,Q3,South America,Model S,2592,74248.11,2,Standard,RWD,White,389,71,23.37,5729.84,4.42,8,3,2024.9,True,3872639,11,0.0687,1.14,74.27
2014,Q1,Australia,Model S,2863,118502.77,5,Performance,AWD,Red,476,75,18.25,3947.63,4.28,5,2,2022.5,False,3529006,7,0.0711,0.6,78.93
2017,Q1,Asia,Model S,4620,92662.24,18,Long Range,AWD,White,391,67,20.96,10780.74,3.97,8,1,2024.12,True,2696961,10,0.0439,2.08,84.4
2022,Q1,Australia,Cybertruck,3014,36549.6,19,Standard,AWD,White,598,42,15.72,2336.24,3.62,4,0,2022.10,True,3260155,4,0.0246,2.16,83.13
2024,Q2,Australia,Model S,3415,65965.45,46,Standard,RWD,Silver,495,78,21.98,4773.68,4.3,6,3,2021.6,False,3972852,6,0.08,1.51,72.56
2014,Q2,South America,Model 3,2098,39435.28,30,Long Range,AWD,Green,614,84,14.5,1400.94,3.74,8,1,2023.2,True,3884335,7,0.0937,1.33,71.89
2017,Q2,Australia,Model S,3121,54085.79,20,Standard,RWD,Black,420,32,16.44,6739.87,4.54,5,3,2023.10,True,764593,2,0.033,2.17,76.46
